"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Original"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/24/2020 02:12:57 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","230.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","230.0 nm"
"EM Wavelength End:","700.0 nm"
"Data Interval:","5.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"MQ Blank - RawData"
"EM Wavelength/EX Wavelength",230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,
230,1450.495,517.787,35.091,-4.443,-3.140,-0.939,-0.733,-2.245,-2.184,-0.418,-0.570,-0.833,-1.122,-0.414,0.165,0.466,0.063,-0.264,0.033,0.056,0.078,0.346,0.446,0.162,0.432,0.643,0.635,0.504,0.568,0.539,0.548,0.424,0.599,0.530,0.446,0.323,0.431,0.875,1.754,2.920,2.907,1.664,0.919,1.483,4.243,10.009,14.207,11.970,6.139,1.943,0.479,0.415,0.365,0.360,0.495,
235,1105.622,1643.762,637.292,33.640,-0.020,-2.948,-2.739,-0.271,-1.471,-1.278,-1.356,-0.571,-0.944,-0.513,-0.256,0.144,0.078,0.023,0.160,0.184,0.361,0.490,0.262,0.529,0.054,0.413,0.530,0.570,0.459,0.650,0.707,0.552,0.408,0.536,0.437,0.537,0.319,0.505,0.718,1.274,2.391,3.349,3.209,1.806,0.821,1.846,6.441,12.712,17.046,16.577,8.833,2.221,0.484,0.429,0.359,
240,174.443,1187.071,1939.409,777.450,49.180,-1.468,-2.584,0.059,-0.769,-0.435,-0.258,-0.072,-0.623,0.467,-0.256,0.024,0.122,-0.151,0.021,0.020,0.438,0.105,0.098,0.368,0.236,0.488,0.540,0.337,0.559,0.805,0.445,0.604,0.416,0.608,0.603,0.392,0.515,0.429,0.608,0.598,0.659,1.526,3.323,4.568,3.597,1.627,0.841,1.893,6.615,17.963,27.614,24.112,12.338,3.029,0.583,
245,292.417,187.431,1250.980,2153.643,857.233,70.300,0.050,-0.506,-0.066,0.302,-0.636,-0.441,-0.328,-0.467,-0.146,0.107,-0.159,0.193,0.045,0.094,0.179,0.213,0.128,0.277,0.384,0.192,0.548,0.687,0.580,0.550,0.469,0.568,0.490,0.655,0.414,0.277,0.315,0.548,0.567,0.548,0.548,0.649,0.905,2.585,4.679,5.466,3.625,1.350,0.853,2.425,10.046,24.466,34.944,30.166,15.476,
250,641.354,240.918,161.009,1401.863,2409.967,1208.674,59.982,-0.653,-1.012,-0.013,-0.079,-0.531,0.125,-0.303,-0.336,-0.044,-0.437,0.029,0.071,0.217,-0.095,0.465,0.352,0.313,0.437,0.584,0.559,0.705,0.598,0.631,0.561,0.350,0.442,0.341,0.525,0.413,0.269,0.545,0.601,0.572,0.492,0.572,0.469,0.610,1.370,3.946,6.501,5.910,3.003,1.211,0.915,3.000,12.694,29.678,46.001,
255,397.493,636.364,214.282,177.785,1488.602,3371.493,1279.339,72.309,0.412,0.186,-0.035,-0.542,-0.553,0.525,-0.494,-0.100,0.240,0.080,0.167,0.017,0.463,0.637,0.484,0.275,0.352,0.299,0.581,0.715,0.402,0.627,0.475,0.410,0.430,0.518,0.594,0.295,0.320,0.409,0.630,0.606,0.528,0.488,0.381,0.517,0.587,0.806,2.301,5.057,7.225,6.633,3.058,1.050,0.785,3.163,15.758,
260,66.571,505.034,616.761,157.024,184.993,2066.999,3702.340,1346.012,71.213,0.436,-0.455,-0.206,-0.105,-0.167,-0.375,-0.236,-0.007,0.074,0.043,0.168,0.277,0.381,0.507,0.575,0.459,0.437,0.415,0.701,0.547,0.661,0.458,0.426,0.431,0.479,0.529,0.433,0.281,0.465,0.684,0.493,0.477,0.336,0.424,0.518,0.568,0.629,0.509,1.121,3.439,8.278,9.983,6.324,2.380,0.791,0.993,
265,1.037,107.739,569.010,573.630,122.023,223.339,2345.051,3864.469,1504.084,60.387,0.922,0.532,0.149,0.127,-0.457,0.355,0.699,-0.166,0.363,0.279,0.309,0.410,0.388,0.470,0.390,0.387,0.613,0.647,0.563,0.547,0.587,0.492,0.565,0.581,0.555,0.504,0.456,0.494,0.583,0.475,0.493,0.513,0.527,0.383,0.457,0.648,0.496,0.538,0.632,1.907,6.148,10.970,10.936,5.499,1.619,
270,18.036,6.731,135.637,667.451,518.201,110.778,273.559,2338.083,4040.353,1336.368,72.272,-0.076,0.496,0.863,-0.105,-0.000,-0.413,0.282,-0.002,0.181,0.173,0.197,0.156,0.445,0.388,0.523,0.706,0.671,0.333,0.491,0.457,0.570,0.614,0.545,0.510,0.471,0.340,0.428,0.493,0.602,0.510,0.591,0.525,0.667,0.671,0.617,0.646,0.535,0.597,0.740,0.933,3.135,9.330,13.189,11.405,
275,88.803,26.535,11.392,228.169,738.757,556.318,77.019,258.815,2371.637,3839.991,1435.813,68.505,0.476,0.938,0.358,0.308,0.124,0.233,0.473,0.159,-0.107,0.267,0.308,0.386,0.337,0.318,0.430,0.629,0.494,0.409,0.505,0.588,0.936,0.904,0.759,0.604,0.529,0.585,0.782,0.753,0.749,0.774,0.914,0.950,1.059,1.068,1.017,0.931,0.782,0.661,0.426,0.523,1.426,5.584,13.355,
280,165.021,55.130,6.153,20.561,319.073,970.256,431.416,60.070,244.996,2375.070,3965.925,1476.547,64.582,1.241,0.427,0.441,0.213,0.107,0.084,0.297,0.226,0.451,0.425,0.462,0.399,0.646,0.454,0.630,0.569,0.780,0.649,0.961,1.089,1.159,1.141,0.995,0.676,0.683,0.780,0.801,0.975,0.885,1.036,1.307,1.422,1.289,1.600,1.244,0.958,0.659,0.500,0.457,0.520,0.623,2.664,
285,214.560,67.031,13.842,6.922,42.506,524.002,974.832,320.718,46.168,268.457,2302.477,4059.894,1434.105,76.067,1.369,0.591,0.189,0.457,0.150,0.235,0.382,0.351,0.224,0.200,0.363,0.487,0.538,0.624,0.546,0.542,0.600,0.882,1.359,1.610,1.339,0.765,0.689,0.785,0.905,0.920,1.204,1.058,1.342,1.665,1.519,1.673,1.695,1.468,0.966,0.794,0.588,0.505,0.500,0.574,0.630,
290,210.062,75.627,17.356,6.017,8.674,77.855,697.660,869.892,235.780,36.190,218.218,2310.243,4167.531,1591.600,69.967,0.866,0.922,0.830,0.713,0.093,0.360,0.576,0.618,0.240,0.569,0.504,0.600,0.549,0.582,0.642,0.672,0.881,1.312,1.560,1.186,0.711,0.660,0.911,0.982,0.998,1.051,1.334,1.421,1.548,1.706,1.806,1.788,1.345,1.003,0.796,0.563,0.525,0.474,0.489,0.575,
295,208.795,67.351,17.539,5.563,6.875,12.344,147.097,752.656,763.422,134.321,32.129,225.863,2436.384,4099.348,1449.687,64.230,1.203,0.656,0.727,0.432,0.474,0.472,0.472,0.551,0.339,0.494,0.603,0.578,0.632,0.478,0.707,0.896,1.253,1.386,1.186,0.909,0.758,0.794,0.834,0.885,1.030,0.977,1.252,1.493,1.574,1.589,1.418,1.213,1.034,0.778,0.610,0.488,0.603,0.585,0.484,
300,162.673,62.938,15.829,8.221,10.013,8.574,18.354,197.462,817.513,564.828,94.085,28.978,235.307,2187.108,3876.373,1333.491,65.217,1.170,0.781,0.525,0.388,0.690,0.433,0.258,0.470,0.641,0.808,0.682,0.527,0.634,0.550,0.844,1.162,1.259,0.939,0.847,0.620,0.684,0.747,0.839,0.962,0.969,1.062,1.244,1.383,1.397,1.347,1.257,0.962,0.744,0.632,0.559,0.596,0.567,0.474,
305,119.915,62.049,25.691,18.044,16.452,16.481,13.385,20.372,262.198,803.635,479.114,67.356,32.977,171.494,2004.321,3578.284,1431.762,56.681,1.173,0.512,0.469,0.633,0.449,0.372,0.596,0.570,0.524,0.686,0.572,0.648,0.596,0.713,0.962,1.185,0.991,0.744,0.699,0.794,0.806,0.865,0.805,0.971,1.056,1.139,1.099,1.199,1.143,1.203,0.855,0.643,0.642,0.634,0.562,0.629,0.570,
310,107.538,72.300,53.416,43.290,39.840,32.902,17.931,13.831,38.937,375.575,807.980,371.442,54.421,36.400,183.414,1882.631,3422.824,1130.087,53.461,1.209,0.921,0.525,0.641,0.359,0.511,0.595,0.761,0.761,0.453,0.544,0.616,0.829,0.940,1.053,0.818,0.707,0.678,0.594,0.793,0.766,0.856,0.983,0.985,1.076,1.097,1.391,1.155,0.938,0.853,0.805,0.857,0.863,0.834,0.840,0.755,
315,123.288,90.839,90.090,80.088,68.029,57.029,29.300,21.451,29.242,72.925,465.301,791.771,276.709,49.499,31.892,155.313,1672.299,3007.052,1094.218,52.065,1.099,0.686,0.566,0.583,0.552,0.699,0.751,0.801,0.674,0.735,0.757,0.674,0.855,0.729,0.791,0.652,0.736,0.690,0.847,0.930,0.851,1.066,1.050,1.168,1.375,1.555,1.339,1.206,1.110,0.921,1.104,1.051,1.156,1.167,1.282,
320,334.201,152.009,121.636,112.482,96.934,83.087,50.692,41.782,48.653,59.489,130.433,594.338,735.215,210.866,36.017,26.633,127.897,1557.678,2779.193,1057.800,48.099,0.801,0.693,0.604,0.606,0.664,0.636,0.723,0.744,0.408,0.548,0.657,0.732,0.786,0.896,0.755,0.657,0.845,0.878,1.116,1.153,1.173,1.753,1.890,2.241,2.751,2.364,1.792,1.280,1.290,1.433,1.416,1.497,1.438,1.513,
325,642.516,266.760,176.528,149.549,122.960,119.330,74.222,66.395,75.548,82.275,98.966,214.306,713.041,621.607,116.248,25.463,25.989,143.747,1459.109,2645.733,895.584,38.013,1.140,0.466,0.481,0.589,0.685,0.828,0.516,0.587,0.589,0.568,0.860,0.871,0.918,0.930,1.020,1.102,1.196,1.377,1.473,1.776,2.295,2.949,3.409,3.940,3.612,2.607,1.929,1.857,1.770,1.553,1.774,1.781,1.773,
330,761.529,373.478,225.766,171.121,136.306,132.491,83.209,72.121,82.651,91.315,102.491,117.213,274.221,698.052,453.170,70.650,24.400,24.323,118.882,1355.669,2387.227,844.337,36.485,0.964,0.545,0.925,0.885,0.688,0.629,0.703,0.605,0.478,0.800,0.756,0.964,0.700,0.959,1.008,1.283,1.435,1.757,1.987,2.445,2.914,3.493,4.152,3.823,2.892,2.193,2.284,2.055,2.130,2.059,1.886,1.918,
335,900.013,417.622,258.315,182.417,139.605,134.594,88.839,80.801,92.058,99.866,108.356,111.076,105.319,294.375,659.479,323.496,45.475,22.087,23.739,109.287,1228.024,2191.413,782.339,34.696,0.528,0.689,0.590,0.701,0.654,0.606,0.484,0.645,0.574,0.752,0.846,0.940,1.058,1.244,1.233,1.496,1.756,2.185,2.897,3.224,3.977,4.637,4.264,3.212,2.533,2.413,2.331,2.084,1.993,2.007,2.050,
340,998.890,484.545,274.434,187.508,140.991,133.382,91.167,88.537,90.374,99.217,106.673,108.416,90.687,89.181,361.789,584.896,213.642,26.532,22.303,21.596,114.266,1186.132,2010.456,672.702,27.365,0.938,0.777,0.961,0.777,0.527,0.721,0.771,0.653,0.814,0.807,1.101,1.106,1.229,1.453,1.513,1.902,2.233,2.754,3.571,4.189,5.034,4.534,3.505,2.694,2.578,2.421,2.196,2.226,2.021,2.083,
345,893.596,457.515,271.508,181.188,133.850,123.624,83.184,78.569,81.204,88.628,98.840,97.946,80.506,56.410,81.266,386.781,507.289,128.970,21.503,19.429,18.860,92.334,1048.320,1881.914,670.499,27.469,1.067,0.888,0.699,0.627,0.686,0.577,0.718,0.745,0.809,0.749,0.873,0.934,1.402,1.394,1.616,1.824,2.522,3.181,3.420,4.484,4.302,3.235,2.664,2.641,2.330,2.281,1.947,1.971,1.980,
350,791.049,435.623,261.193,161.971,114.405,107.549,74.682,69.015,73.678,76.046,85.087,84.561,69.759,50.023,35.078,102.268,431.634,386.249,79.427,17.118,15.961,15.200,91.903,1036.122,1733.098,577.649,22.880,1.184,0.700,0.545,0.676,0.892,0.691,0.591,0.644,0.722,0.824,1.019,1.276,1.482,1.516,1.680,2.198,2.729,3.207,3.884,3.541,2.881,2.422,2.392,2.414,2.241,1.992,1.722,1.642,
