"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Original"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/24/2020 08:09:56 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","230.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","230.0 nm"
"EM Wavelength End:","700.0 nm"
"Data Interval:","5.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"K6_9 - RawData"
"EM Wavelength/EX Wavelength",230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,
230,18528.326,7077.980,499.364,8.814,7.454,8.454,7.146,5.795,5.203,4.531,4.222,3.574,4.059,4.571,4.020,3.460,2.689,2.704,2.261,2.376,2.249,2.254,3.046,2.679,2.831,3.061,3.786,4.341,4.112,2.820,2.403,2.107,1.805,1.420,1.313,1.224,1.026,1.205,2.088,2.869,2.952,2.092,1.596,5.390,20.068,47.813,70.281,59.702,31.951,8.625,1.185,0.717,0.835,0.824,0.657,
235,14760.961,22615.785,9005.553,526.565,15.897,13.791,13.793,7.971,6.123,5.820,4.723,2.744,3.488,4.189,4.044,3.051,2.910,2.870,2.270,2.060,1.912,2.431,2.611,2.615,2.938,3.104,3.900,4.638,3.870,2.589,2.182,1.876,1.843,1.547,1.184,1.425,1.283,1.014,1.022,1.500,2.648,3.497,3.515,2.349,1.445,7.658,32.710,70.999,96.758,92.489,53.442,10.532,1.230,0.801,0.621,
240,2068.045,16506.158,27390.551,12181.073,845.393,22.523,18.792,13.396,8.415,4.916,5.057,4.531,5.206,5.420,3.991,3.535,3.593,3.244,2.570,2.573,2.321,2.536,3.040,2.924,3.102,3.271,4.117,4.513,3.666,2.638,2.096,1.877,1.472,1.393,1.517,1.123,1.116,0.895,0.999,1.042,1.127,1.964,3.577,4.670,3.755,1.911,1.368,8.339,37.945,103.533,169.577,147.295,71.722,18.326,1.674,
245,331.355,2179.814,17002.338,35723.797,15176.966,1193.002,28.125,16.396,12.896,8.112,5.337,3.794,5.029,4.760,4.066,3.141,3.352,2.971,2.163,2.497,2.242,2.448,3.146,2.969,3.213,3.186,4.504,4.413,3.868,2.441,1.985,2.136,1.580,1.483,1.183,1.077,0.919,0.869,1.036,1.044,0.981,0.925,1.328,2.735,4.574,5.457,3.674,1.806,1.439,12.333,62.966,153.794,219.149,200.576,103.519,
250,654.652,276.164,1834.459,23330.729,42671.305,21890.045,1460.120,29.441,18.960,12.887,8.280,6.352,5.603,6.371,4.114,3.212,3.244,2.710,2.626,2.581,2.408,2.300,2.616,2.781,3.184,3.248,4.289,4.745,3.549,2.277,2.088,2.044,1.649,1.420,1.216,1.215,1.314,1.137,1.138,1.089,0.905,0.894,1.136,1.071,1.597,4.026,6.515,5.822,3.128,1.517,1.682,16.324,86.353,209.627,329.874,
255,414.467,629.401,249.714,2404.785,25346.025,61718.219,28109.773,1569.967,30.281,16.477,12.286,8.668,6.121,5.577,4.940,3.932,3.430,3.282,2.773,2.230,2.352,2.848,2.587,3.279,3.233,3.335,4.558,4.828,3.741,2.377,2.037,1.869,1.509,1.575,1.303,1.175,1.033,1.035,1.037,1.143,0.961,0.842,0.951,0.869,0.997,1.024,2.462,5.213,7.158,6.712,3.294,1.384,1.559,19.227,120.065,
260,88.587,508.178,624.085,198.961,2671.165,36433.434,76709.156,28353.480,1545.870,24.870,15.998,11.758,10.434,7.818,5.585,4.767,3.051,3.360,2.997,2.534,2.320,2.836,3.075,3.047,3.609,3.144,4.722,5.068,3.438,1.992,1.928,2.102,1.832,1.492,1.284,1.206,1.006,1.138,1.214,0.922,1.079,0.872,1.070,0.968,0.828,0.781,0.874,1.434,3.701,8.095,10.112,6.467,2.514,1.406,2.026,
265,31.317,132.384,565.376,597.218,172.432,3344.383,46710.945,78400.461,31247.260,1263.318,25.462,16.969,15.469,13.370,7.598,5.079,4.043,4.083,2.959,3.104,2.816,2.593,3.217,2.875,3.302,3.623,4.739,4.764,3.087,1.943,1.993,2.000,1.868,1.356,1.423,1.141,1.165,1.205,1.124,0.912,0.901,0.931,0.849,1.072,0.905,0.739,0.863,0.827,0.875,2.019,6.280,10.714,10.909,5.905,2.106,
270,51.459,34.169,161.517,664.198,543.668,180.818,4666.666,46380.520,82606.805,27429.031,1457.845,27.280,20.053,19.002,11.483,7.535,4.969,3.772,3.007,2.870,2.649,3.200,2.887,3.054,3.501,4.030,5.131,4.909,3.151,2.373,1.947,2.042,1.864,1.527,1.609,1.409,1.301,1.157,1.293,1.204,1.187,1.152,1.028,1.136,1.142,0.962,1.079,0.957,0.949,0.750,1.167,3.553,9.285,13.450,11.498,
275,87.819,43.172,40.115,246.073,735.142,606.452,157.337,4709.917,47172.938,77380.125,27603.523,1258.265,31.590,25.925,16.374,10.569,6.797,4.711,3.925,3.157,3.138,3.153,3.189,3.275,3.627,4.180,6.323,5.591,3.121,1.796,1.998,2.021,1.786,1.870,1.929,1.450,1.521,1.506,1.473,1.449,1.566,1.475,1.357,1.584,1.452,1.369,1.323,1.238,0.974,0.856,0.926,1.009,1.743,5.698,13.172,
280,126.060,60.424,31.537,49.848,334.965,983.900,500.695,150.152,4400.524,46038.805,74418.227,28894.465,1443.197,40.389,23.724,15.205,10.030,5.712,4.911,3.574,3.555,3.287,3.469,3.265,3.815,4.516,6.939,6.757,3.290,2.042,1.993,2.320,2.687,2.477,2.256,2.045,1.883,1.698,1.689,1.925,1.880,1.877,2.060,2.123,1.978,1.903,1.845,1.553,1.146,1.046,0.898,0.846,0.906,1.113,3.258,
285,195.667,82.191,44.741,36.446,75.025,560.174,1021.798,415.306,157.832,4448.201,42405.680,79432.297,30794.453,2082.597,33.999,20.447,14.418,9.020,6.431,4.131,3.932,3.616,3.497,3.322,3.775,4.462,7.123,6.992,3.678,2.272,2.176,2.673,3.120,2.790,2.522,2.304,2.056,1.978,1.986,1.867,2.174,2.294,2.697,2.713,2.561,2.406,2.240,1.844,1.510,1.128,1.059,0.963,1.114,0.940,1.092,
290,231.177,116.249,57.209,44.900,51.913,144.175,764.518,968.671,357.091,150.487,3541.659,45608.445,96762.039,44556.188,1946.800,30.072,20.369,13.834,9.520,6.093,4.701,4.260,3.901,3.433,3.892,5.382,7.500,6.630,3.435,2.185,2.077,2.907,3.206,2.961,2.800,2.457,2.286,2.144,2.186,2.227,2.427,2.505,2.636,3.046,2.819,2.788,2.552,2.235,1.584,1.412,1.370,1.222,1.178,1.275,1.185,
295,270.521,140.730,83.661,62.926,62.737,90.995,248.331,855.412,886.131,252.165,135.698,3815.650,61715.172,119679.531,37582.930,1575.873,30.370,18.536,12.294,9.426,5.978,4.735,4.165,3.842,4.480,5.436,7.527,6.885,3.462,2.191,2.274,2.748,3.077,3.245,3.110,2.712,2.539,2.223,2.513,2.420,2.576,2.596,3.022,3.101,2.751,2.950,2.847,2.453,1.930,1.839,1.743,1.639,1.545,1.625,1.685,
300,313.165,181.470,121.479,87.116,86.940,105.867,132.736,319.352,928.819,686.910,209.815,136.888,5487.537,64606.582,103804.156,34221.516,1725.397,25.533,16.738,12.080,9.124,6.079,5.101,4.473,5.148,5.766,7.806,6.684,3.306,2.324,2.245,2.825,3.108,3.166,3.071,2.652,2.667,2.540,2.554,2.392,2.572,2.772,2.879,3.124,3.081,3.008,3.050,2.599,2.145,2.342,2.286,2.090,1.990,2.136,2.071,
305,319.154,262.192,215.625,187.386,174.202,185.093,157.057,170.045,427.213,984.767,679.398,279.292,218.803,4321.035,58079.559,93661.484,36345.316,1436.280,24.296,16.258,12.011,9.064,6.674,5.038,5.309,6.558,7.615,6.533,3.351,2.334,2.227,2.769,3.196,3.453,3.257,3.196,2.845,2.620,2.650,2.789,2.833,2.838,3.235,3.691,3.430,3.445,3.314,3.189,2.782,3.076,3.386,3.253,3.270,3.196,3.198,
310,395.030,460.240,491.582,501.780,468.751,449.535,259.097,237.114,332.208,761.038,1314.680,948.168,526.398,322.103,4749.903,48234.242,90856.313,29260.221,1304.819,22.786,15.259,11.637,9.262,6.505,5.958,7.142,8.364,6.534,3.672,2.336,2.371,2.756,3.002,3.359,3.569,3.415,3.252,3.004,3.278,3.321,3.238,3.420,3.874,4.476,4.381,4.991,4.816,4.293,4.207,5.246,5.873,6.128,6.459,5.880,6.226,
315,530.030,722.430,872.656,901.030,854.379,792.187,405.678,344.654,491.898,754.955,1373.429,1836.442,1111.064,511.028,208.897,3346.629,49534.871,82105.906,28808.713,1282.212,22.036,15.365,12.032,9.205,8.081,8.279,8.553,6.576,3.520,2.280,2.182,2.733,3.101,3.363,3.517,3.727,3.645,3.739,3.760,3.944,4.079,4.606,5.315,6.256,6.592,7.344,7.262,6.232,5.918,7.502,8.943,9.201,9.826,9.185,9.429,
320,1232.774,1012.008,1184.428,1248.309,1179.617,1122.286,610.090,526.267,726.875,1047.794,1448.698,2071.779,1902.471,843.366,268.667,117.929,3185.900,44066.406,76797.211,28722.854,1430.681,22.801,14.539,10.198,9.218,8.592,8.535,6.285,3.683,2.710,2.637,2.859,3.250,3.492,3.924,4.339,4.491,4.806,5.261,6.049,6.868,8.093,10.134,12.520,14.572,16.756,15.269,10.486,8.380,9.961,11.386,12.198,12.651,12.364,12.863,
