"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Modified"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/25/2020 05:10:27 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","Emission"
"EX Wavelength:","350.0 nm"
"EM Wavelength Start:","365.0 nm"
"EM Wavelength End:","450.0 nm"
"Data Interval:","0.5 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Auto"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"WaterRaman_5PM_4 - CorrectionData"
"Wavelength nm.","Intensity"
365,4.037
366,3.629
366,3.162
367,3.030
367,2.932
368,2.818
368,2.329
369,2.414
369,2.285
370,2.456
370,2.324
371,2.144
371,2.138
372,2.020
372,1.713
373,1.710
373,1.850
374,1.582
374,1.462
375,1.464
375,1.038
376,1.109
376,0.779
377,0.801
377,0.658
378,0.448
378,0.230
379,0.303
379,0.215
380,0.304
380,-0.036
381,-0.109
381,0.070
382,0.127
382,0.606
383,0.761
383,1.114
384,1.979
384,3.330
385,4.335
385,5.782
386,7.253
386,9.597
387,13.006
387,17.264
388,20.838
388,24.812
389,28.671
389,37.479
390,43.531
390,52.945
391,59.418
391,68.973
392,74.751
392,86.637
393,95.978
393,106.006
394,115.857
394,120.968
395,131.562
395,137.134
396,145.337
396,149.919
397,151.959
397,155.379
398,155.408
398,154.521
399,152.178
399,147.047
400,141.264
400,135.893
401,129.627
401,120.587
402,112.380
402,101.482
403,89.562
403,81.727
404,75.690
404,67.484
405,58.549
405,49.792
406,40.733
406,34.803
407,30.968
407,24.956
408,20.651
408,15.555
409,12.285
409,9.640
410,7.504
410,5.599
411,3.316
411,2.324
412,1.187
412,0.668
413,-0.243
413,-0.792
414,-0.967
414,-1.525
415,-1.678
415,-1.770
416,-1.934
416,-2.138
417,-2.442
417,-2.445
418,-2.505
418,-2.558
419,-2.816
419,-2.900
420,-2.892
420,-2.974
421,-3.056
421,-3.149
422,-3.247
422,-3.257
423,-3.235
423,-3.292
424,-3.235
424,-3.216
425,-3.347
425,-3.271
426,-3.340
426,-3.360
427,-3.289
427,-3.300
428,-3.346
428,-3.289
429,-3.284
429,-3.345
430,-3.390
430,-3.376
431,-3.491
431,-3.339
432,-3.426
432,-3.397
433,-3.398
433,-3.406
434,-3.406
434,-3.494
435,-3.473
435,-3.453
436,-3.572
436,-3.479
437,-3.479
437,-3.525
438,-3.519
438,-3.493
439,-3.570
439,-3.448
440,-3.554
440,-3.452
441,-3.505
441,-3.512
442,-3.420
442,-3.612
443,-3.484
443,-3.511
444,-3.489
444,-3.426
445,-3.614
445,-3.580
446,-3.612
446,-3.450
447,-3.603
447,-3.559
448,-3.572
448,-3.616
449,-3.676
449,-3.684
450,-3.587
450,-3.581
